,Wards in Nairobi,Number of scrap dealers,Presence of open sewage,Sources of water(Borehole),no. of Industries
2070,Eastleigh North,"""65","574""",96,1
2071,Mathare South,"""24","000""",47,0
2072,Kangemi,"""39","377""",102,1
2073,Kangemi,"""26","000""",50,1
2074,Embakasi East,"""55","500""",126,1
2075,Nairobi West,"""40","500""",111,1
2076,Embakasi East,"""21","000""",87,1
2077,Dandora Area I,"""39","377""",85,1
2078,Zimmerman,"""22","000""",101,0
2079,Ngei,"""55","500""",65,1
2080,Kawangware,"""44","600""",113,0
2081,Eastleigh North,"""23","000""",67,0
2082,Kayole North,"""26","000""",62,0
2083,Mabatini,"""44","800""",89,1
2084,Eastleigh South,"""51","890""",57,0
2085,Kayole South,"""43","600""",46,0
2086,Korogocho,"""19","000""",84,0
2087,Mountain View,"""48","997""",60,1
2088,Mathare North,"""42","972""",76,1
2089,Viwandani,"""20","000""",57,1
2090,Kayole North,"""39","377""",101,1
2091,Landimawe,"""62","583""",46,0
2092,Sarangombe,"""123","000""",47,0
2093,Kahawa West,"""52","500""",91,1
2094,Mlango Kubwa,"""40","500""",82,1
2095,Pumwani,"""42","972""",106,0
2096,Dandora Area IV,"""231","700""",112,1
2097,Uthiru/Ruthi,"""51","890""",87,1
2098,Mountain View,"""48","997""",56,1
2099,Makadara,"""44","400""",63,1
2100,Nairobi South,"""41","900""",72,1
2101,Karen,"""44","000""",67,1
2102,Kasarani,"""12","000""",56,0
2103,Sarangombe,"""123","000""",58,0
2104,Uthiru/Ruthi,"""46","400""",84,0
2105,Mathare North,"""52","500""",60,1
2106,Nyayo Highrise,"""41","700""",69,0
2107,Komarock,"""109","890""",75,0
2108,Embakasi East,"""13","000""",66,0
2109,Lower Savannah,"""22","000""",90,0
2110,Ngara,"""41","600""",71,1
2111,Kahawa West,"""62","583""",95,1
2112,Pipeline,"""42","600""",61,1
2113,Ruai,"""42","600""",52,0
2114,Dandora Area II,"""42","500""",63,1
2115,Dandora Area IV,"""43","000""",82,0
2116,Karura,"""27","000""",83,0
2117,Hospital,"""14","000""",64,0
2118,Athi River,"""52","500""",38,1
2119,Dandora Area II,"""42","200""",56,0
2120,Karen,"""20","000""",51,0
2121,Roysambu,"""51","890""",66,0
2122,Nyayo Highrise,"""36","037""",44,0
2123,Kitisuru,"""18","000""",45,0
2124,Mutu-ini,"""44","918""",31,0
2125,Kitengela,"""44","918""",101,1
2126,Embakasi East,"""45","200""",65,0
2127,Imara Daima,"""22","000""",74,0
2128,Kilimani,"""45","400""",81,1
2129,Makongeni,"""45","000""",48,0
2130,Kasarani,"""19","000""",83,0
2131,Lower Savannah,"""9","000""",35,0
2132,Dandora Area IV,"""20","000""",87,1
2133,Gatina,"""62","583""",65,1
2134,Makadara,"""63","000""",106,1
2135,Embakasi North,"""43","600""",95,0
2136,Kariobangi South,"""18","000""",93,1
2137,Kariobangi South,"""48","100""",96,0
2138,Harambee,"""36","037""",62,1
2139,Kilimani,"""15","000""",59,1
2140,Kabiro,"""23","000""",88,1
2141,Mowlem,"""40","500""",58,0
2142,Kware,"""41","900""",109,1
2143,Pipeline,"""45","600""",33,0
2144,Kawangware,"""26","000""",45,1
2145,Eastleigh South,"""44","200""",101,1
2146,Mihango,"""45","400""",42,0
2147,Mwiki,"""36","037""",64,0
2148,Korogocho,"""14","000""",99,1
2149,Mathare North,"""18","000""",54,0
2150,Kitengela,"""231","700""",95,1
2151,Mathare South,"""55","500""",103,1
2152,Nairobi West,"""62","600""",38,0
2153,Sarangombe,"""109","890""",94,1
2154,Mathare North,"""109","890""",76,1
2155,Sarangombe,"""26","000""",50,0
2156,Riruta,"""39","377""",54,0
2157,Dandora Area II,"""41","500""",74,1
2158,Kawangware,"""42","400""",79,1
2159,Gatina,"""21","000""",104,0
2160,Karen,"""48","100""",55,1
2161,Mugumu-Ini,"""42","600""",105,0
2162,Utalii,"""18","000""",93,0
2163,Zimmerman,"""41","600""",100,0
2164,Kitisuru,"""48","997""",114,0
2165,Nairobi West,"""41","800""",57,0
2166,Clay City,"""46","174""",76,1
2167,Pipeline,"""45","600""",59,0
2168,Nairobi Central,"""16","000""",116,1
2169,Uthiru/Ruthi,"""42","200""",75,0
2170,Sarangombe,"""52","600""",70,1
2171,Lucky Summer,"""46","800""",65,1
2172,Mutu-ini,"""12","000""",96,1
2173,Kibera,"""55","500""",57,1
2174,Lindi Makina,"""42","600""",93,1
2175,Kariobangi North,"""46","800""",119,1
2176,Dandora Area IV,"""38","918""",78,1
2177,Nyayo Highrise,"""46","800""",45,0
2178,Ngara,"""45","000""",51,1
2179,South C,"""45","600""",94,0
2180,Baba Dogo,"""23","000""",108,1
2181,Nairobi Central,"""22","000""",41,0
2182,Mabatini,"""46","800""",98,1
2183,Ruiru,"""46","600""",84,1
2184,Mowlem,"""41","800""",42,0
2185,Kilimani,"""41","900""",88,0
2186,Maringo/Hamza,"""62","583""",106,1
2187,Waithaka,"""24","000""",103,1
2188,Kwa Ruben,"""25","000""",75,1
2189,Nyayo Highrise,"""29","000""",66,0
2190,Nairobi West,"""44","200""",32,1
2191,Parklands/Highridge,"""19","000""",90,0
2192,Kitisuru,"""42","600""",81,0
2193,Kitisuru,"""27","000""",110,1
2194,Dandora Area IV,"""41","500""",41,0
2195,Mabatini,"""18","000""",48,0
2196,Uthiru/Ruthi,"""42","600""",51,0
2197,Korogocho,"""43","600""",122,1
2198,Mwiki,"""42","200""",66,1
2199,Thika,"""45","000""",116,0
2200,Woodley /Kenyatta Golf Course,"""23","000""",90,0
2201,Kayole Central,"""48","997""",58,0
2202,Makadara,"""51","890""",50,0
2203,Kabiro,"""12","000""",88,0
2204,Kileleshwa,"""46","174""",71,0
2205,Gatina,"""123","000""",53,1
2206,Githurai,"""38","918""",67,0
2207,Ruiru,"""43","400""",69,0
2208,Syokimau,"""51","890""",116,1
2209,Dandora Area III,"""16","000""",127,1
2210,Mathare North,"""45","800""",104,1
2211,Upper Savannah,"""42","500""",68,1
2212,Hospital,"""41","800""",79,1
2213,Nairobi South,"""43","600""",58,0
2214,Kangemi,"""17","000""",107,1
2215,Eastleigh South,"""46","600""",55,0
2216,Pipeline,"""45","800""",38,0
2217,Dandora Area III,"""12","000""",78,0
2218,Nairobi West,"""45","600""",77,0
2219,Landimawe,"""62","600""",103,0
2220,Mountain View,"""24","000""",84,0
2221,Nairobi Central,"""27","000""",99,1
2222,Kwa Njenga,"""21","000""",93,1
2223,Pumwani,"""42","800""",53,1
2224,Thika,"""24","000""",91,1
2225,Mathare North,"""21","000""",100,1
2226,Kamukunji,"""17","000""",52,0
2227,Embakasi Central,"""77","378""",72,0
2228,Zimmerman,"""41","500""",95,1
2229,Kamukunji,"""44","600""",45,0
2230,Zimmerman,"""22","000""",81,0
2231,Komarock,"""21","000""",58,0
2232,Kwa Njenga,"""22","000""",38,0
2233,Landimawe,"""43","200""",40,0
2234,Kangemi,"""55","500""",66,0
2235,Ngara,"""43","600""",43,0
2236,Utalii,"""16","000""",79,1
2237,Huruma,"""12","000""",100,0
2238,Gatina,"""27","000""",64,0
2239,Embakasi,"""12","000""",90,0
2240,Kwa Njenga,"""48","000""",64,0
2241,Njiru,"""65","574""",129,1
2242,Harambee,"""45","000""",34,1
2243,Embakasi East,"""14","000""",52,0
2244,Zimmerman,"""12","000""",47,0
2245,Nairobi West,"""45","800""",103,1
2246,Githurai,"""44","400""",63,1
2247,Utawala,"""48","100""",39,0
2248,Umoja II,"""52","600""",109,1
2249,Clay City,"""42","200""",45,1
2250,Kibera,"""20","000""",61,0
2251,Makongeni,"""65","574""",93,1
2252,Riruta,"""19","000""",67,0
2253,Riruta,"""42","500""",50,0
2254,Upper Savannah,"""48","100""",53,0
2255,Airbase,"""29","000""",50,1
2256,Makadara,"""17","000""",81,1
2257,Kwa Njenga,"""52","600""",93,1
2258,Ziwani/Kariokor,"""39","377""",78,1
2259,Nairobi West,"""42","300""",98,1
2260,Embakasi South,"""46","800""",97,0
2261,Eastleigh South,"""23","000""",109,0
2262,Nairobi West,"""42","972""",63,0
2263,Ruiru,"""48","000""",91,0
2264,Upper Savannah,"""24","000""",52,0
2265,Ngara,"""44","200""",89,0
2266,Dandora Area III,"""44","200""",87,0
2267,Zimmerman,"""46","174""",38,1
2268,Githurai,"""22","000""",116,1
2269,Lucky Summer,"""41","700""",60,1
2270,Starehe,"""46","000""",112,0
2271,Lower Savannah,"""52","500""",114,1
2272,Dandora Area II,"""46","200""",122,1
2273,Gatina,"""46","000""",58,1
2274,Nyayo Highrise,"""42","400""",96,0
2275,Eastleigh South,"""46","800""",47,0
2276,Huruma,"""90","017""",111,0
2277,Gatina,"""41","600""",70,0
2278,Imara Daima,"""19","000""",23,1
2279,Kwa Ruben,"""20","000""",107,1
2280,Kayole South,"""44","600""",111,1
2281,Korogocho,"""19","000""",88,0
2282,Dandora Area III,"""43","000""",105,1
2283,Upper Savannah,"""44","000""",101,1
2284,Woodley /Kenyatta Golf Course,"""43","000""",69,0
2285,Kiamaiko,"""63","000""",57,0
2286,Baba Dogo,"""15","000""",64,0
2287,Pumwani,"""45","400""",81,0
2288,Utalii,"""90","017""",82,1
2289,Embakasi North,"""42","500""",33,0
2290,Kariobangi South,"""19","000""",49,0
2291,Eastleigh North,"""16","000""",44,0
2292,Karen,"""48","100""",47,0
2293,Waithaka,"""42","200""",60,0
2294,Landimawe,"""42","300""",57,1
2295,Umoja II,"""42","300""",68,1
2296,Kitisuru,"""55","500""",33,0
2297,Kitisuru,"""17","000""",118,1
2298,Woodley /Kenyatta Golf Course,"""38","918""",68,1
2299,Karura,"""45","200""",35,0
2300,Imara Daima,"""46","400""",59,0
2301,Umoja I,"""17","000""",81,0
2302,Matopeni/Spring Valley,"""36","037""",65,0
2303,California,"""13","000""",49,1
2304,Nairobi West,"""42","500""",38,0
2305,Utawala,"""10","000""",42,0
2306,Kahawa,"""63","000""",74,0
2307,Zimmerman,"""52","600""",63,0
2308,Ziwani/Kariokor,"""77","378""",53,1
2309,Baba Dogo,"""42","600""",64,0
2310,Mowlem,"""16","000""",80,0
2311,Riruta,"""17","000""",86,0
2312,Mugumu-Ini,"""123","000""",71,0
2313,Mowlem,"""42","500""",42,0
2314,Mountain View,"""44","000""",87,0
2315,Pumwani,"""41","900""",84,1
2316,Mowlem,"""55","500""",106,1
2317,Kawangware,"""62","583""",41,0
2318,Eastleigh South,"""48","997""",105,1
2319,Embakasi North,"""55","500""",107,1
2320,Kiamaiko,"""38","918""",51,0
2321,Kitisuru,"""44","918""",83,1
2322,Embakasi East,"""43","000""",74,0
2323,Mugumu-Ini,"""231","700""",65,0
2324,Starehe,"""46","000""",61,1
2325,Harambee,"""46","800""",60,1
2326,Kiamaiko,"""46","000""",102,1
2327,Zimmerman,"""21","000""",92,0
2328,Thika,"""51","890""",37,0
2329,Kayole North,"""55","500""",47,0
2330,Westlands,"""44","918""",47,0
2331,Kabiro,"""22","000""",49,0
2332,Kabiro,"""23","000""",46,1
2333,Lower Savannah,"""45","800""",60,0
2334,Kawangware,"""41","600""",85,1
2335,Ruiru,"""44","000""",53,1
2336,Viwandani,"""24","000""",80,1
2337,Kariobangi North,"""45","200""",67,0
2338,Mathare North,"""90","017""",53,0
2339,Kitisuru,"""48","997""",64,0
2340,Kayole South,"""51","890""",76,0
2341,Kahawa West,"""50","800""",58,0
2342,Pumwani,"""25","000""",55,0
2343,Mabatini,"""42","400""",85,1
2344,Utalii,"""42","800""",102,1
2345,Mowlem,"""45","200""",80,1
2346,Laini saba,"""50","800""",101,1
2347,Makongeni,"""231","700""",67,0
2348,Westlands,"""46","400""",68,1
2349,Parklands/Highridge,"""43","600""",50,0
2350,Athi River,"""42","400""",113,1
2351,Kibera,"""44","200""",64,0
2352,Umoja II,"""48","100""",61,1
2353,Syokimau,"""42","972""",119,1
2354,Mathare North,"""44","000""",56,1
2355,Mlango Kubwa,"""41","500""",90,0
2356,Parklands/Highridge,"""22","000""",86,1
2357,Dandora Area III,"""22","000""",115,0
2358,Nairobi West,"""43","400""",53,0
2359,Mutu-ini,"""42","600""",52,1
2360,Dandora Area II,"""77","378""",42,0
2361,Airbase,"""43","600""",38,0
2362,Karura,"""40","500""",71,1
2363,Kariobangi South,"""29","000""",75,1
2364,Baba Dogo,"""44","400""",97,1
2365,Mihango,"""26","000""",44,0
2366,Parklands/Highridge,"""23","000""",50,1
2367,Kwa Njenga,"""62","600""",123,1
2368,South C,"""20","000""",68,0
2369,Dandora Area II,"""21","000""",108,1
2370,Mwiki,"""123","000""",115,1
2371,Kibera,"""22","000""",66,1
2372,Ngando,"""231","700""",93,1
2373,Riruta,"""42","500""",43,0
2374,Upper Savannah,"""45","000""",81,0
2375,Riruta,"""12","000""",70,1
2376,Riruta,"""44","918""",114,0
2377,Kabiro,"""48","997""",54,0
2378,Lucky Summer,"""38","918""",59,1
2379,Matopeni/Spring Valley,"""44","918""",55,1
2380,Mlango Kubwa,"""45","600""",85,0
2381,Starehe,"""45","600""",57,1
2382,Mowlem,"""50","800""",62,0
2383,Roysambu,"""24","000""",44,1
2384,Landimawe,"""13","000""",97,0
2385,Pipeline,"""46","174""",69,0
2386,Matopeni/Spring Valley,"""12","000""",80,1
2387,Ziwani/Kariokor,"""16","000""",57,1
2388,Embakasi North,"""46","200""",112,0
2389,Upper Savannah,"""16","000""",35,0
2390,Komarock,"""48","100""",104,0
2391,Ziwani/Kariokor,"""14","000""",72,1
2392,Kawangware,"""11","000""",136,0
2393,Kahawa,"""52","600""",39,0
2394,Kahawa West,"""45","600""",66,0
2395,Nyayo Highrise,"""48","000""",63,0
2396,Dandora Area I,"""51","890""",108,0
2397,Parklands/Highridge,"""45","800""",76,0
2398,Ruai,"""55","500""",88,1
2399,Dandora Area IV,"""14","000""",105,1
2400,Embakasi North,"""46","174""",91,1
2401,Komarock,"""23","000""",49,0
2402,Utawala,"""45","400""",52,0
2403,Kahawa West,"""11","000""",61,0
2404,Dandora Area II,"""42","400""",86,0
2405,Riruta,"""13","000""",78,1
2406,Ngando,"""41","800""",62,0
2407,Harambee,"""48","997""",53,1
2408,Kayole North,"""13","000""",88,1
2409,Kware,"""17","000""",115,1
2410,Lucky Summer,"""22","000""",40,0
2411,Nyayo Highrise,"""44","000""",70,0
2412,Embakasi East,"""46","200""",42,0
2413,Ruiru,"""42","200""",90,1
2414,Kangemi,"""9","000""",94,1
2415,Utalii,"""43","000""",92,0
2416,Ruiru,"""52","600""",88,0
2417,Maringo/Hamza,"""41","500""",74,0
2418,Kibera,"""41","500""",65,1
2419,Makongeni,"""51","890""",74,0
2420,Woodley /Kenyatta Golf Course,"""41","900""",42,0
2421,Westlands,"""25","000""",89,0
2422,Riruta,"""26","000""",46,0
2423,Syokimau,"""13","000""",106,0
2424,Mowlem,"""44","800""",89,1
2425,Sarangombe,"""42","500""",97,0
2426,Umoja II,"""41","600""",64,0
2427,Eastleigh North,"""21","000""",71,1
2428,Harambee,"""43","000""",104,1
2429,Ziwani/Kariokor,"""41","700""",69,0
2430,Hospital,"""40","500""",82,1
2431,Ngando,"""44","800""",38,0
2432,Pipeline,"""42","400""",72,0
2433,Kware,"""52","600""",51,1
2434,Huruma,"""42","400""",63,1
2435,Dandora Area I,"""13","000""",88,0
2436,Mugumu-Ini,"""18","000""",99,0
2437,Kahawa West,"""17","000""",42,1
2438,Kayole South,"""45","000""",78,1
2439,Westlands,"""13","000""",89,1
2440,Utalii,"""109","890""",73,1
2441,Dandora Area II,"""14","000""",69,1
2442,Mathare North,"""45","400""",67,1
2443,Imara Daima,"""20","000""",55,1
2444,Roysambu,"""42","500""",67,0
2445,Westlands,"""17","000""",38,0
2446,Embakasi Central,"""48","000""",86,0
2447,Westlands,"""41","600""",75,1
2448,Gatina,"""14","000""",111,1
2449,Korogocho,"""42","500""",93,0
2450,Kitisuru,"""19","000""",82,0
2451,Kwa Ruben,"""44","400""",114,1
2452,Utalii,"""15","000""",102,1
2453,Matopeni/Spring Valley,"""9","000""",80,0
2454,Kayole South,"""11","000""",43,1
2455,Dandora Area I,"""42","800""",34,0
2456,Waithaka,"""15","000""",98,0
2457,Njiru,"""231","700""",102,0
2458,Makadara,"""77","378""",84,0
2459,Pumwani,"""43","000""",80,0
2460,Kibera,"""45","200""",57,1
2461,Kitengela,"""42","200""",107,1
2462,Airbase,"""90","017""",52,1
2463,Syokimau,"""40","500""",105,1
2464,Pipeline,"""20","000""",52,0
2465,Karen,"""109","890""",97,0
2466,Karura,"""42","400""",105,1
2467,Mwiki,"""77","378""",37,0
2468,Pipeline,"""42","400""",78,0
2469,Kariobangi South,"""39","377""",100,0
2470,Kariobangi North,"""10","000""",37,0
2471,Kwa Njenga,"""45","000""",54,1
2472,Kayole North,"""19","000""",41,0
2473,Athi River,"""44","600""",53,0
2474,Ruiru,"""46","400""",64,1
2475,Lower Savannah,"""51","890""",33,1
2476,Dandora Area IV,"""42","972""",64,1
2477,Karura,"""44","918""",61,0
2478,Kwa Ruben,"""42","000""",59,0
2479,Dandora Area IV,"""42","400""",110,1
2480,Karen,"""52","600""",61,1
2481,Landimawe,"""18","000""",59,0
2482,Embakasi North,"""44","400""",93,1
2483,Dandora Area II,"""42","000""",108,0
2484,Kariobangi North,"""10","000""",114,1
2485,Mutu-ini,"""43","400""",43,0
2486,Matopeni/Spring Valley,"""9","000""",47,0
2487,Embakasi South,"""12","000""",43,0
2488,Nairobi West,"""82","972""",59,1
2489,Kariobangi North,"""43","400""",65,0
2490,Gatina,"""46","174""",86,0
2491,Embakasi North,"""44","000""",98,0
2492,Nairobi West,"""46","174""",99,0
2493,Kayole South,"""17","000""",59,1
2494,Komarock,"""23","000""",91,1
2495,Embakasi South,"""44","400""",64,0
2496,Sarangombe,"""9","000""",58,0
2497,Kariobangi South,"""17","000""",49,0
2498,Kahawa,"""45","200""",103,0
2499,Utalii,"""14","000""",110,0
2500,Mutu-ini,"""15","000""",46,1
2501,Zimmerman,"""90","017""",53,0
2502,Komarock,"""42","400""",79,1
2503,Upper Savannah,"""42","500""",85,1
2504,Sarangombe,"""77","378""",56,1
2505,Mathare South,"""123","000""",105,0
2506,Korogocho,"""41","700""",114,1
2507,Uthiru/Ruthi,"""23","000""",56,1
2508,Embakasi East,"""42","800""",45,0
2509,Dandora Area I,"""40","500""",108,0
2510,Hospital,"""20","000""",54,0
2511,Utawala,"""46","800""",149,1
2512,Laini saba,"""26","000""",48,0
2513,Riruta,"""29","000""",65,1
2514,Kahawa,"""44","600""",93,1
2515,Kileleshwa,"""18","000""",63,1
2516,Kahawa,"""18","000""",81,0
2517,Kawangware,"""11","000""",65,0
2518,Umoja II,"""23","000""",40,0
2519,Mathare North,"""62","600""",94,0
2520,Dandora Area IV,"""36","037""",98,1
2521,Zimmerman,"""20","000""",115,1
2522,Imara Daima,"""52","500""",60,1
2523,Harambee,"""44","000""",66,0
2524,Dandora Area II,"""90","017""",107,1
2525,Mathare North,"""21","000""",86,1
2526,Kibera,"""16","000""",37,0
2527,Pumwani,"""90","017""",51,0
2528,Utalii,"""42","000""",79,0
2529,Lower Savannah,"""16","000""",67,0
2530,Kwa Ruben,"""41","500""",61,1
2531,Kiamaiko,"""38","918""",81,1
2532,Imara Daima,"""18","000""",57,0
2533,Kasarani,"""41","600""",39,0
2534,Kilimani,"""42","300""",105,1
2535,Eastleigh South,"""23","000""",83,1
2536,Kileleshwa,"""42","800""",102,1
2537,Utalii,"""17","000""",53,1
2538,Lindi Makina,"""16","000""",68,1
2539,Embakasi,"""41","800""",51,0
2540,Zimmerman,"""16","000""",67,0
2541,Kayole South,"""27","000""",40,1
2542,Eastleigh South,"""43","000""",48,0
2543,Mihango,"""41","600""",72,0
2544,Kasarani,"""46","174""",51,0
2545,Uthiru/Ruthi,"""52","500""",57,1
2546,Karen,"""41","600""",79,0
2547,Waithaka,"""22","000""",77,1
2548,Embakasi South,"""14","000""",58,1
2549,Dandora Area II,"""42","200""",68,0
2550,Kahawa West,"""17","000""",61,1
2551,Ngando,"""42","500""",64,1
2552,Umoja II,"""13","000""",48,0
2553,Embakasi South,"""43","200""",78,1
2554,Pipeline,"""77","378""",68,0
2555,Ngara,"""27","000""",86,1
2556,South C,"""44","600""",123,1
2557,Kawangware,"""22","000""",110,1
2558,Umoja II,"""123","000""",40,0
2559,Nairobi South,"""36","037""",47,0
2560,Embakasi East,"""41","600""",61,0
2561,Embakasi North,"""29","000""",63,0
2562,Makongeni,"""44","400""",39,0
2563,Embakasi North,"""43","000""",104,1
2564,Mlango Kubwa,"""38","918""",45,0
2565,Parklands/Highridge,"""27","000""",41,0
2566,Kayole North,"""14","000""",61,0
2567,Embakasi East,"""22","000""",100,0
2568,Lindi Makina,"""41","700""",49,0
2569,Utawala,"""42","500""",70,0
2570,Kwa Njenga,"""22","000""",102,1
2571,Kayole Central,"""41","800""",105,0
2572,Nairobi South,"""20","000""",62,0
2573,Mathare South,"""51","890""",47,0
2574,Kangemi,"""27","000""",97,1
2575,Landimawe,"""11","000""",115,1
2576,Kitisuru,"""48","100""",65,1
2577,Utawala,"""42","000""",51,0
2578,Embakasi East,"""16","000""",111,1
2579,Gatina,"""41","800""",48,0
2580,Kware,"""13","000""",109,0
2581,Kawangware,"""41","700""",101,1
2582,Starehe,"""90","017""",102,1
2583,Clay City,"""46","200""",142,0
2584,Kibera,"""62","583""",44,0
2585,Nairobi Central,"""43","600""",76,1
2586,Mugumu-Ini,"""15","000""",73,1
2587,Kibera,"""43","000""",101,0
2588,Njiru,"""109","890""",88,1
2589,Utalii,"""46","800""",40,0
2590,Nairobi Central,"""44","600""",106,0
2591,Mugumu-Ini,"""41","600""",95,1
2592,Kitisuru,"""90","017""",58,1
2593,Mathare North,"""52","500""",75,1
2594,Pipeline,"""45","200""",84,1
2595,Airbase,"""44","800""",107,1
2596,Harambee,"""77","378""",66,0
2597,Kariobangi North,"""42","600""",55,1
2598,Kariobangi North,"""42","000""",64,0
2599,Mugumu-Ini,"""43","600""",78,1
2600,Airbase,"""62","600""",69,0
2601,Komarock,"""123","000""",57,0
2602,Viwandani,"""48","100""",92,0
2603,California,"""41","500""",58,0
2604,Pipeline,"""9","000""",47,0
2605,Gatina,"""48","997""",95,1
2606,Utawala,"""44","000""",56,0
2607,Kilimani,"""44","918""",30,0
2608,Eastleigh South,"""44","918""",58,0
2609,Lindi Makina,"""42","500""",52,1
2610,Waithaka,"""42","500""",59,0
2611,Kabiro,"""38","918""",75,1
2612,Ruiru,"""50","800""",100,1
2613,Eastleigh North,"""19","000""",76,0
2614,Hospital,"""48","000""",63,0
2615,Viwandani,"""55","500""",82,0
2616,Pipeline,"""42","200""",69,1
2617,Imara Daima,"""46","174""",79,0
2618,Umoja II,"""48","997""",110,0
2619,Mlango Kubwa,"""44","000""",55,0
2620,Syokimau,"""231","700""",97,1
2621,Dandora Area III,"""44","800""",49,0
2622,Komarock,"""24","000""",65,0
2623,Ngara,"""24","000""",84,0
2624,Kamukunji,"""52","500""",62,1
2625,Viwandani,"""109","890""",50,0
2626,Uthiru/Ruthi,"""52","600""",82,0
2627,Githurai,"""42","972""",54,0
2628,Kwa Ruben,"""12","000""",75,0
2629,South C,"""12","000""",98,0
2630,Kibera,"""22","000""",108,1
2631,Karen,"""46","200""",60,1
2632,Kawangware,"""36","037""",81,0
2633,Kitisuru,"""41","700""",106,0
2634,Westlands,"""12","000""",63,1
2635,Mihango,"""44","400""",60,1
2636,Mowlem,"""42","200""",101,0
2637,Laini saba,"""10","000""",85,1
2638,Lindi Makina,"""17","000""",97,1
2639,California,"""42","600""",56,1
2640,Dandora Area II,"""17","000""",90,1
2641,Clay City,"""25","000""",69,0
2642,Laini saba,"""44","600""",82,0
2643,Mutu-ini,"""52","500""",60,0
2644,Komarock,"""48","000""",50,1
2645,Imara Daima,"""52","500""",62,0
2646,Syokimau,"""42","200""",63,1
2647,Kahawa West,"""10","000""",54,1
2648,Kayole South,"""44","918""",37,0
2649,Embakasi North,"""14","000""",82,1
2650,Gatina,"""44","200""",70,1
2651,Embakasi North,"""42","600""",90,1
2652,Ruai,"""42","500""",61,1
2653,Makadara,"""36","037""",100,1
2654,Karura,"""44","600""",90,0
2655,Utalii,"""52","500""",46,1
2656,Kilimani,"""41","500""",92,0
2657,Mowlem,"""42","500""",92,0
2658,Westlands,"""45","800""",81,0
2659,South C,"""42","400""",48,0
2660,Athi River,"""12","000""",52,0
2661,Waithaka,"""11","000""",76,0
2662,Zimmerman,"""12","000""",42,0
2663,Dandora Area I,"""11","000""",52,1
2664,Harambee,"""13","000""",60,1
2665,Mathare North,"""23","000""",78,1
2666,Mugumu-Ini,"""46","800""",90,1
2667,Kibera,"""46","200""",59,1
2668,Roysambu,"""26","000""",39,0
2669,Mathare North,"""12","000""",95,0
2670,Westlands,"""38","918""",37,0
2671,Landimawe,"""42","500""",52,1
2672,Njiru,"""45","400""",68,0
2673,Airbase,"""62","583""",43,1
2674,Parklands/Highridge,"""41","500""",95,0
2675,Viwandani,"""42","972""",78,1
2676,Upper Savannah,"""48","997""",109,1
2677,Makadara,"""45","400""",70,0
2678,Uthiru/Ruthi,"""26","000""",86,0
2679,Kayole Central,"""45","000""",64,1
2680,Mabatini,"""48","000""",117,1
2681,Pangani,"""21","000""",97,1
2682,Mutu-ini,"""17","000""",57,0
2683,Eastleigh North,"""18","000""",41,0
2684,Mountain View,"""17","000""",78,1
2685,Airbase,"""46","800""",41,0
2686,Starehe,"""62","583""",23,0
2687,Dandora Area IV,"""42","300""",97,1
2688,Airbase,"""45","200""",99,0
2689,Pangani,"""44","918""",73,0
2690,Pangani,"""42","200""",90,0
2691,Karen,"""45","400""",58,0
2692,South C,"""42","500""",73,1
2693,Upper Savannah,"""51","890""",73,0
2694,Eastleigh South,"""40","500""",66,0
2695,Kibera,"""48","100""",61,1
2696,Mihango,"""231","700""",68,1
2697,Ngei,"""13","000""",46,1
2698,Mutu-ini,"""43","400""",62,1
2699,Kawangware,"""65","574""",66,1
2700,Komarock,"""42","800""",97,0
2701,Gatina,"""20","000""",88,0
2702,Eastleigh South,"""42","800""",76,0
2703,Ruai,"""21","000""",96,1
2704,Kilimani,"""45","000""",74,1
2705,Maringo/Hamza,"""45","200""",60,1
2706,Mutu-ini,"""13","000""",76,0
2707,Kangemi,"""48","100""",91,1
2708,Ngando,"""38","918""",45,0
2709,Kilimani,"""43","400""",59,0
2710,Nyayo Highrise,"""16","000""",124,1
2711,Utawala,"""41","700""",89,1
2712,Kayole Central,"""20","000""",64,0
2713,Korogocho,"""77","378""",63,0
2714,Airbase,"""65","574""",103,0
2715,Ngei,"""109","890""",68,1
2716,Athi River,"""46","400""",112,1
2717,Landimawe,"""46","400""",67,1
2718,Westlands,"""13","000""",74,1
2719,Sarangombe,"""20","000""",69,0
2720,Sarangombe,"""22","000""",100,0
2721,Dandora Area II,"""41","900""",93,1
2722,Landimawe,"""41","600""",93,1
2723,Kayole North,"""42","400""",52,0
2724,Utalii,"""41","900""",108,1
2725,Nairobi Central,"""82","972""",37,1
2726,Dandora Area I,"""21","000""",61,0
2727,Nyayo Highrise,"""38","918""",58,1
2728,Landimawe,"""51","890""",31,0
2729,Kwa Njenga,"""45","800""",66,1
2730,Harambee,"""51","890""",46,0
2731,Makadara,"""45","000""",46,1
2732,Laini saba,"""45","800""",44,1
2733,Kariobangi North,"""41","600""",51,0
2734,Kayole South,"""19","000""",54,1
2735,Landimawe,"""43","800""",85,0
2736,Kawangware,"""42","500""",78,1
2737,Kware,"""9","000""",73,1
2738,Mabatini,"""12","000""",46,0
2739,Umoja II,"""41","800""",78,0
2740,Kahawa West,"""39","377""",56,0
2741,Westlands,"""43","000""",94,1
2742,Kahawa West,"""43","800""",74,1
2743,Kariobangi North,"""50","800""",68,0
2744,Pipeline,"""42","800""",73,0
